user_id,seed,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,100,"376,688,157,535,829,367,840,52,923,405","164,164,163,164,163,165,163,163,164,195,154",251
3507,100,"896,417,376,451,753,59,133,211,616,260","165,165,164,163,164,164,163,163,163,163",531
4932,100,"896,376,688,451,284,133,86,75,469,417","165,164,164,163,165,163,164,163,163,165",471
5784,100,"896,376,742,451,574,211,284,59,344,86","165,164,164,163,164,163,165,164,163,164",490
5424,100,"896,417,626,342,574,921,8,505,535,391","165,165,164,163,164,163,163,163,164,164,163",535
5481,100,"896,417,626,342,574,921,8,505,535,435","165,165,164,163,164,163,163,163,164,164,165",553
4511,100,"896,376,742,163,451,284,688,616,190,86","165,164,164,163,163,165,164,163,163,164,164",612
5430,100,"896,417,376,190,451,753,505,391,342,133","165,165,164,163,164,163,164,163,164,163,163,163",546
2873,100,"896,417,626,342,8,101,169,826,88,805","165,165,164,163,163,163,164,164,164,164",477
1235,100,"896,376,688,451,284,133,342,101,8,169","165,164,164,163,165,163,163,163,163,164",494
4355,100,"896,665,342,417,505,52,391,8,35,626","165,164,163,165,163,164,163,164,163,163,163,164",586
3184,100,"896,376,742,59,86,344,154,451,405,211","165,164,164,164,164,163,164,163,154,163",535
2179,100,"896,417,626,342,8,840,376,574,284,435","165,165,164,163,163,163,164,164,165,165",352
3210,100,"896,417,626,342,8,840,574,826,469,486","165,165,164,163,163,163,164,164,163,164",544
3735,100,"376,688,157,535,52,840,829,367,903,923","164,164,163,164,163,164,163,163,165,129,195",289
4486,100,"896,417,376,190,342,616,574,505,391,626","165,165,164,163,164,163,163,164,163,164,163,164",519
574,100,"896,417,626,342,8,101,826,391,486,890","165,165,164,163,163,163,164,163,164,164",483
633,100,"896,417,376,451,753,616,505,190,65,86","165,165,164,163,164,163,163,164,163,164,163,164",508
1133,100,"896,376,688,451,59,154,742,367,65,86","165,164,164,163,164,164,164,165,163,164",361
5148,100,"896,376,742,59,86,344,154,65,803,373","165,164,164,164,164,163,164,163,148,148",556
64,100,"896,376,688,451,284,86,133,157,344,469","165,164,164,163,165,164,163,163,163,163",494
5501,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",463
1584,100,"896,376,742,59,86,344,154,469,260,688","165,164,164,164,164,163,164,163,163,164",413
729,100,"896,376,688,451,284,742,344,616,86,59","165,164,164,163,165,164,163,163,164,164",346
3759,100,"896,417,626,342,8,101,826,391,486,890","165,165,164,163,163,163,164,163,164,164",437
3009,100,"896,376,342,505,469,753,451,133,688,921","165,164,163,163,164,163,164,163,163,164,163",516
4554,100,"896,417,626,342,8,101,169,826,88,805","165,165,164,163,163,163,164,164,164,164",569
2626,100,"896,417,626,59,342,163,753,86,921,435","165,165,164,164,163,163,164,164,163,165",628
2261,100,"896,417,376,163,451,154,616,742,65,434","165,165,164,163,163,164,163,164,163,129",641
3610,100,"896,417,376,163,451,133,211,742,154,260","165,165,164,163,163,163,163,164,164,163",600
5528,100,"896,417,376,190,342,616,574,391,451,101","165,165,164,163,164,163,163,164,163,163,163",553
5711,100,"896,417,626,59,342,163,505,816,574,535","165,165,164,164,163,163,163,164,164,164,164",553
2930,100,"376,688,157,535,829,367,840,52,923,405","164,164,163,164,163,165,163,163,164,195,154",293
145,100,"896,417,626,59,342,8,133,376,616,505","165,165,164,164,163,163,163,164,163,163,164",500
5860,100,"896,376,742,59,260,154,86,344,65,803","165,164,164,164,163,164,164,163,163,148",354
5493,100,"896,417,626,342,8,101,169,826,391,52","165,165,164,163,163,163,164,164,163,163,164",544
1509,100,"896,482,665,52,535,574,8,35,505,376","165,164,164,163,164,164,164,163,163,163,164,164",594
3202,100,"896,376,742,59,163,86,344,154,469,479","165,164,164,164,163,164,163,164,163,163",669
541,100,"896,417,626,342,574,921,8,505,535,435","165,165,164,163,164,163,163,163,164,164,165",528
1595,100,"896,417,626,342,8,840,376,574,284,435","165,165,164,163,163,163,164,164,165,165",500
4837,100,"896,376,742,451,284,616,86,65,59,344","165,164,164,163,165,163,164,163,164,163",464
5610,100,"896,417,376,190,342,753,505,574,391,626","165,165,164,163,164,163,164,163,164,164,163,164",653
66,100,"896,376,742,59,163,451,616,211,688,290","165,164,164,164,163,163,163,163,164,3",653
4215,100,"896,376,505,574,133,753,469,52,8,157","165,164,163,164,164,163,164,163,163,164,163,163",415
5436,100,"896,376,688,451,742,59,574,154,65,75","165,164,164,163,164,164,164,164,163,163",547
2737,100,"896,376,742,451,284,133,449,753,417,342","165,164,164,163,165,163,165,164,165,163",535
573,100,"896,376,688,451,284,342,133,154,753,469","165,164,164,163,165,163,163,164,164,163",547
1670,100,"896,376,688,451,284,342,783,921,395,753","165,164,164,163,165,163,165,163,165,164",644
5744,100,"896,376,688,451,284,133,342,98,486,189","165,164,164,163,165,163,163,164,164,165",586
1223,100,"896,417,626,342,574,505,921,376,391,785","165,165,164,163,164,163,164,163,164,163,163",400
2837,100,"896,417,626,342,8,101,369,169,391,826","165,165,164,163,163,163,163,164,163,164",538
5167,100,"896,417,626,59,342,451,133,284,86,574","165,165,164,164,163,163,163,165,164,164",557
1374,100,"896,417,626,59,342,163,505,816,574,535","165,165,164,164,163,163,163,164,164,164,164",553
2938,100,"896,376,742,451,284,616,86,65,59,344","165,164,164,163,165,163,164,163,164,163",535
4883,100,"896,417,626,8,376,574,435,505,59,284","165,165,164,163,164,164,165,163,164,164,165",531
1715,100,"376,688,157,535,829,367,840,52,903,923","164,164,163,164,163,165,163,163,164,129,195",378
1563,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",519
3981,100,"896,376,742,451,574,211,154,367,284,59","165,164,164,163,164,163,164,165,165,164",520
1993,100,"896,417,376,451,211,154,65,753,688,616","165,165,164,163,163,164,163,164,164,163",540
4228,100,"896,417,626,342,8,101,169,826,88,805","165,165,164,163,163,163,164,164,164,164",549
3557,100,"376,688,157,535,829,367,840,52,903,646","164,164,163,164,163,165,163,163,164,129,155",304
449,100,"896,417,376,451,753,59,133,505,616,190","165,165,164,163,164,164,163,163,164,163,163,164",541
944,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",447
3243,100,"896,417,626,342,8,101,369,169,391,826","165,165,164,163,163,163,163,164,163,164",553
889,100,"896,376,688,451,284,86,133,190,154,344","165,164,164,163,165,164,163,163,164,164,163",519
3540,100,"896,417,376,190,451,753,616,59,133,688","165,165,164,163,164,163,164,163,164,163,164",553
4748,100,"896,417,626,342,8,840,574,826,101,169","165,165,164,163,163,163,164,164,163,164",521
3532,100,"896,376,688,451,284,342,133,574,417,921","165,164,164,163,165,163,163,164,165,163",528
1764,100,"896,417,626,342,574,921,505,8,535,376","165,165,164,163,164,163,163,164,163,164,164",541
1614,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",571
5452,100,"896,376,688,451,284,86,344,59,154,157","165,164,164,163,165,164,163,164,164,163",519
5139,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",472
2840,100,"896,417,376,190,342,616,574,391,451,101","165,165,164,163,164,163,163,164,163,163,163",355
2905,100,"896,417,376,451,753,616,133,190,505,469","165,165,164,163,164,163,163,163,164,163,164,163",628
1294,100,"896,417,376,190,451,133,616,449,342,574","165,165,164,163,164,163,163,163,165,163,164",570
2101,100,"896,417,626,342,8,840,376,469,133,505","165,165,164,163,163,163,164,163,163,163,164",574
5250,100,"896,376,742,59,86,344,154,469,260,688","165,164,164,164,164,163,164,163,163,164",338
2710,100,"896,417,376,451,753,59,211,133,469,616","165,165,164,163,164,164,163,163,163,163",520
3446,100,"896,376,688,451,284,342,133,574,417,921","165,164,164,163,165,163,163,164,165,163",519
1057,100,"896,417,626,59,154,616,451,190,742,211","165,165,164,164,164,163,163,163,164,164,163",543
185,100,"896,376,742,163,451,284,753,616,190,260","165,164,164,163,163,165,164,163,163,164,163",720
622,100,"896,417,626,342,8,840,376,574,921,535","165,165,164,163,163,163,164,164,163,164",535
2367,100,"896,376,688,451,284,742,86,59,344,75","165,164,164,163,165,164,164,164,163,163",398
5110,100,"896,417,376,451,753,616,505,190,65,86","165,165,164,163,164,163,163,164,163,164,163,164",349
5210,100,"896,417,626,342,8,840,574,826,469,486","165,165,164,163,163,163,164,164,163,164",523
2654,100,"896,417,626,59,342,451,753,505,284,435","165,165,164,164,163,163,164,163,164,165,165",541
5074,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",553
4457,100,"896,376,742,59,163,86,65,154,344,75","165,164,164,164,163,164,163,164,163,163",690
1462,100,"896,417,626,59,342,8,169,52,921,616","165,165,164,164,163,163,164,163,164,163,163",554
1213,100,"896,482,417,626,342,8,826,469,574,486","165,164,165,164,163,163,164,163,164,164",644
1506,100,"376,163,742,65,616,284,165,101,417,342","164,163,164,163,163,165,164,163,165,163",388
1010,100,"896,376,574,133,829,367,714,535,451,86","165,164,164,163,163,165,163,164,163,164",270
1760,100,"896,417,376,451,211,154,65,753,688,742","165,165,164,163,163,164,163,164,164,164",600
1298,100,"896,376,688,451,284,742,86,190,344,59","165,164,164,163,165,164,164,163,164,163,164",430
3549,100,"896,376,451,284,163,59,86,190,742,344","165,164,163,165,163,164,164,163,164,164,163",633
5694,100,"896,376,742,59,260,154,86,616,753,344","165,164,164,164,163,164,164,163,164,163",606
3791,100,"896,482,417,505,451,376,616,574,342,816","165,164,165,163,164,163,164,163,164,163,164",639
4216,100,"896,417,626,342,8,840,574,826,101,391","165,165,164,163,163,163,164,164,163,163",553
1837,100,"896,376,742,451,284,616,260,86,753,65","165,164,164,163,165,163,163,164,164,163",499
2380,100,"896,417,626,342,574,505,921,376,391,535","165,165,164,163,164,163,164,163,164,163,164",535
2786,100,"896,417,395,8,783,188,169,342,101,826","165,165,165,163,165,165,164,163,163,164",691
3513,100,"896,417,376,190,342,616,574,505,391,451","165,165,164,163,164,163,163,164,163,164,163,163",523
3166,100,"896,417,626,59,284,505,8,376,574,435","165,165,164,164,165,163,164,163,164,164,165",472
111,100,"896,417,626,342,8,101,169,826,391,52","165,165,164,163,163,163,164,164,163,163,164",598
4671,100,"896,417,626,59,342,8,169,52,921,785","165,165,164,164,163,163,164,163,164,163,163",553
1507,100,"896,417,376,451,753,616,505,190,65,86","165,165,164,163,164,163,163,164,163,164,163,164",634
3266,100,"896,376,688,451,284,342,133,574,417,753","165,164,164,163,165,163,163,164,165,164",579
3187,100,"896,417,376,190,342,616,574,391,626,101","165,165,164,163,164,163,163,164,163,164,163",374
5211,100,"896,376,742,59,260,451,133,284,342,86","165,164,164,164,163,163,163,165,163,164",541
2831,100,"896,417,376,451,753,59,133,505,616,16","165,165,164,163,164,164,163,163,164,163,164",513
2347,100,"896,417,626,59,342,451,753,133,505,469","165,165,164,164,163,163,164,163,163,164,163",555
5507,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",519
5195,100,"376,688,157,535,52,829,840,367,923,405","164,164,163,164,163,164,163,163,165,195,154",304
5544,100,"896,376,742,163,451,284,688,616,417,16","165,164,164,163,163,165,164,163,165,164",720
2914,100,"896,417,376,451,753,59,133,505,616,211","165,165,164,163,164,164,163,163,164,163,163",559
5496,100,"896,417,626,342,8,101,369,169,574,190","165,165,164,163,163,163,163,164,164,163,164",530
1138,100,"896,417,626,342,8,840,376,469,133,505","165,165,164,163,163,163,164,163,163,163,164",535
4419,100,"896,417,395,816,783,626,59,616,753,342","165,165,165,164,165,164,164,163,164,163",627
3276,100,"896,417,376,190,342,616,574,391,626,101","165,165,164,163,164,163,163,164,163,164,163",569
2918,100,"896,417,626,342,8,840,574,826,101,169","165,165,164,163,163,163,164,164,163,164",634
50,100,"376,688,157,535,829,367,840,52,903,923","164,164,163,164,163,165,163,163,164,129,195",304
1378,100,"896,376,742,451,284,616,86,65,59,344","165,164,164,163,165,163,164,163,164,163",588
1389,100,"896,417,376,190,342,753,505,574,391,626","165,165,164,163,164,163,164,163,164,164,163,164",618
4400,100,"896,482,417,505,451,376,616,574,342,626","165,164,165,163,164,163,164,163,164,163,164",654
565,100,"896,482,417,505,574,376,391,616,688,449","165,164,165,163,164,164,164,163,163,164,165",640
5627,100,"896,417,376,190,451,753,616,133,688,163","165,165,164,163,164,163,164,163,163,164,163",669
5456,100,"896,665,342,417,505,59,376,391,190,451","165,164,163,165,163,164,164,164,163,163,164,163",611
1362,100,"896,376,451,86,211,405,574,688,260,495","165,164,163,164,163,154,164,164,163,156",574
123,100,"896,417,626,59,342,8,133,376,190,616","165,165,164,164,163,163,163,164,163,164,163",466
3482,100,"896,417,376,190,342,753,505,451,284,574","165,165,164,163,164,163,164,163,164,163,165,164",547
1626,100,"896,376,742,451,284,133,753,342,260,86","165,164,164,163,165,163,164,163,163,164",540
6033,100,"896,376,742,163,451,574,616,417,688,211","165,164,164,163,163,164,163,165,164,163",661
5560,100,"896,376,742,59,86,344,154,65,803,353","165,164,164,164,164,163,164,163,148,63",616
4723,100,"896,417,376,190,451,753,505,391,342,626","165,165,164,163,164,163,164,163,164,163,163,164",498
1525,100,"896,376,742,451,574,211,154,367,284,59","165,164,164,163,164,163,164,165,165,164",600
3854,100,"896,376,688,451,284,86,344,59,154,157","165,164,164,163,165,164,163,164,164,163",544
184,100,"896,417,626,342,574,921,505,133,163,816","165,165,164,163,164,163,163,164,163,163,164",645
1025,100,"896,417,626,342,8,101,169,391,826,486","165,165,164,163,163,163,164,163,164,164",535
2100,100,"896,417,376,190,342,616,574,391,451,101","165,165,164,163,164,163,163,164,163,163,163",371
2034,100,"896,376,688,451,284,342,417,753,133,665","165,164,164,163,165,163,165,164,163,164",485
1554,100,"896,417,626,342,8,101,169,826,88,805","165,165,164,163,163,163,164,164,164,164",612
3938,100,"896,665,342,417,8,35,626,356,419,698","165,164,163,165,163,163,164,164,176,176",688
481,100,"896,417,376,451,211,742,65,688,574,816","165,165,164,163,163,164,163,164,164,164",463
3315,100,"896,417,626,59,342,8,169,52,505,163","165,165,164,164,163,163,164,163,164,163,164,163",541
966,100,"896,417,376,451,753,59,133,211,616,260","165,165,164,163,164,164,163,163,163,163",510
4238,100,"896,376,688,451,742,59,803,154,344,65","165,164,164,163,164,164,148,164,163,163",521
3693,100,"896,417,376,190,342,753,505,451,284,574","165,165,164,163,164,163,164,163,164,163,165,164",463
1674,100,"896,482,417,505,574,376,52,616,449,190","165,164,165,163,164,164,164,163,164,163,165,163,164",640
4328,100,"376,688,157,535,829,367,840,52,923,405","164,164,163,164,163,165,163,163,164,195,154",278
4352,100,"896,417,376,190,342,753,451,688,154,211","165,165,164,163,164,163,164,163,164,164,163",535
5529,100,"376,342,391,535,169,52,840,616,921,165","164,163,163,164,164,163,164,163,163,163,164",506
2677,100,"896,376,688,451,284,742,163,65,86,260","165,164,164,163,165,164,163,163,164,163",796
3486,100,"896,482,59,665,342,417,8,98,356,169","165,164,164,164,163,165,163,164,164,164",702
796,100,"896,417,395,8,783,101,626,342,188,505","165,165,165,163,165,163,164,163,165,163,164",635
2917,100,"896,417,626,59,342,451,753,505,574,133","165,165,164,164,163,163,164,163,164,164,163",519
2572,100,"376,688,157,829,535,367,840,52,923,405","164,164,163,163,164,165,163,163,164,195,154",275
4,100,"376,688,157,367,829,535,840,52,923,405","164,164,163,165,163,164,163,163,164,195,154",226
4277,100,"896,417,626,342,574,921,8,101,169,435","165,165,164,163,164,163,163,163,164,165",563
444,100,"896,417,376,190,451,211,154,616,688,753","165,165,164,163,164,163,163,164,163,164,164",526
6036,100,"376,342,688,157,154,921,165,535,344,367","164,163,164,163,164,163,164,164,163,165",493
2078,100,"896,417,376,190,342,753,505,574,449,626","165,165,164,163,164,163,164,163,164,164,165,164",516
2781,100,"896,417,376,451,211,154,742,616,753,65","165,165,164,163,163,164,164,163,164,163",555
1503,100,"896,417,626,342,8,101,169,826,391,486","165,165,164,163,163,163,164,164,163,164",553
2961,100,"896,376,742,163,451,574,616,367,688,211","165,164,164,163,163,164,163,165,164,163",678
2627,100,"896,665,342,417,8,698,419,169,98,940","165,164,163,165,163,176,176,164,164,176",689
